format	width	quality	size	dssim	filename
jpeg	160	30	5789	0.00818048	./quality-samples/sample1.jpg
jpeg	160	35	6432	0.0069099	./quality-samples/sample1.jpg
jpeg	160	40	6963	0.00605055	./quality-samples/sample1.jpg
jpeg	160	45	7545	0.00526342	./quality-samples/sample1.jpg
jpeg	160	50	8062	0.00482831	./quality-samples/sample1.jpg
jpeg	160	55	8576	0.00428494	./quality-samples/sample1.jpg
jpeg	160	60	9198	0.00380487	./quality-samples/sample1.jpg
jpeg	160	65	9971	0.00328601	./quality-samples/sample1.jpg
jpeg	160	70	10907	0.0028464	./quality-samples/sample1.jpg
jpeg	160	75	11985	0.00237418	./quality-samples/sample1.jpg
jpeg	160	80	13674	0.00184851	./quality-samples/sample1.jpg
jpeg	160	85	15962	0.00132377	./quality-samples/sample1.jpg
jpeg	160	90	19602	0.00081017	./quality-samples/sample1.jpg
jpeg	160	95	26717	0.00037626	./quality-samples/sample1.jpg
jpeg	160	100	42835	0.00018435	./quality-samples/sample1.jpg
avif	160	10	1440	0.04216543	./quality-samples/sample1.jpg
avif	160	15	1979	0.03134155	./quality-samples/sample1.jpg
avif	160	20	2648	0.02131002	./quality-samples/sample1.jpg
avif	160	25	3305	0.0158345	./quality-samples/sample1.jpg
avif	160	30	4092	0.01190522	./quality-samples/sample1.jpg
avif	160	35	4904	0.00888634	./quality-samples/sample1.jpg
avif	160	40	6011	0.00649039	./quality-samples/sample1.jpg
avif	160	45	7208	0.00476211	./quality-samples/sample1.jpg
avif	160	50	8462	0.00359354	./quality-samples/sample1.jpg
avif	160	55	10279	0.00245508	./quality-samples/sample1.jpg
avif	160	60	11839	0.00183638	./quality-samples/sample1.jpg
avif	160	65	13376	0.00150764	./quality-samples/sample1.jpg
avif	160	70	14654	0.00129308	./quality-samples/sample1.jpg
avif	160	75	16154	0.0010953	./quality-samples/sample1.jpg
avif	160	80	18145	0.00092818	./quality-samples/sample1.jpg
avif	160	85	21557	0.00077174	./quality-samples/sample1.jpg
avif	160	90	25337	0.00066631	./quality-samples/sample1.jpg
avif	160	95	31065	0.00060538	./quality-samples/sample1.jpg
avif	160	100	38213	0.0005838	./quality-samples/sample1.jpg
webp	160	10	1570	0.01196051	./quality-samples/sample2.jpg
webp	160	15	1820	0.01054094	./quality-samples/sample2.jpg
webp	160	20	1976	0.00836132	./quality-samples/sample2.jpg
webp	160	25	2178	0.00672374	./quality-samples/sample2.jpg
webp	160	30	2374	0.00594942	./quality-samples/sample2.jpg
webp	160	35	2608	0.00500735	./quality-samples/sample2.jpg
webp	160	40	2736	0.00439528	./quality-samples/sample2.jpg
webp	160	45	2868	0.00401782	./quality-samples/sample2.jpg
webp	160	50	3094	0.00367254	./quality-samples/sample2.jpg
webp	160	55	3226	0.00331533	./quality-samples/sample2.jpg
webp	160	60	3442	0.00296257	./quality-samples/sample2.jpg
webp	160	65	3654	0.00273604	./quality-samples/sample2.jpg
webp	160	70	3842	0.00254634	./quality-samples/sample2.jpg
webp	160	75	4072	0.00218466	./quality-samples/sample2.jpg
webp	160	80	4896	0.00168135	./quality-samples/sample2.jpg
webp	160	85	5794	0.00120153	./quality-samples/sample2.jpg
webp	160	90	7622	0.00080278	./quality-samples/sample2.jpg
webp	160	95	10440	0.00049852	./quality-samples/sample2.jpg
webp	160	100	15296	0.00035943	./quality-samples/sample2.jpg
jpeg	160	10	1712	0.0237785	./quality-samples/sample2.jpg
jpeg	160	15	2207	0.0149636	./quality-samples/sample2.jpg
jpeg	160	20	2616	0.01151866	./quality-samples/sample2.jpg
jpeg	160	25	3006	0.00842829	./quality-samples/sample2.jpg
jpeg	160	30	3342	0.00684513	./quality-samples/sample2.jpg
jpeg	160	35	3656	0.00557189	./quality-samples/sample2.jpg
jpeg	160	40	3929	0.00480385	./quality-samples/sample2.jpg
jpeg	160	45	4197	0.00422491	./quality-samples/sample2.jpg
jpeg	160	50	4435	0.0037274	./quality-samples/sample2.jpg
jpeg	160	55	4694	0.00344372	./quality-samples/sample2.jpg
jpeg	160	60	5010	0.00310719	./quality-samples/sample2.jpg
jpeg	160	65	5387	0.0026503	./quality-samples/sample2.jpg
jpeg	160	70	5860	0.00230446	./quality-samples/sample2.jpg
jpeg	160	75	6384	0.0018868	./quality-samples/sample2.jpg
jpeg	160	80	7274	0.00146952	./quality-samples/sample2.jpg
jpeg	160	85	8425	0.00110831	./quality-samples/sample2.jpg
jpeg	160	90	10455	0.00072679	./quality-samples/sample2.jpg
jpeg	160	95	14663	0.00038706	./quality-samples/sample2.jpg
jpeg	160	100	29100	0.00019713	./quality-samples/sample2.jpg
avif	160	10	751	0.02608225	./quality-samples/sample2.jpg
avif	160	15	896	0.02038405	./quality-samples/sample2.jpg
avif	160	20	1086	0.01506365	./quality-samples/sample2.jpg
avif	160	25	1255	0.01059288	./quality-samples/sample2.jpg
avif	160	30	1446	0.0085774	./quality-samples/sample2.jpg
avif	160	35	1669	0.00720109	./quality-samples/sample2.jpg
avif	160	40	1932	0.00520502	./quality-samples/sample2.jpg
avif	160	45	2240	0.00411295	./quality-samples/sample2.jpg
avif	160	50	2612	0.00322871	./quality-samples/sample2.jpg
avif	160	55	3190	0.002387	./quality-samples/sample2.jpg
avif	160	60	3713	0.00189376	./quality-samples/sample2.jpg
avif	160	65	4172	0.00158054	./quality-samples/sample2.jpg
avif	160	70	4606	0.00138836	./quality-samples/sample2.jpg
avif	160	75	5153	0.00125018	./quality-samples/sample2.jpg
avif	160	80	5902	0.00106451	./quality-samples/sample2.jpg
avif	160	85	7281	0.00088732	./quality-samples/sample2.jpg
avif	160	90	8982	0.00077312	./quality-samples/sample2.jpg
avif	160	95	12416	0.00068069	./quality-samples/sample2.jpg
avif	160	100	18483	0.00066353	./quality-samples/sample2.jpg
webp	320	10	5160	0.01323829	./quality-samples/sample0.jpg
webp	320	15	6036	0.0101374	./quality-samples/sample0.jpg
webp	320	20	6952	0.00915099	./quality-samples/sample0.jpg
webp	320	25	7804	0.00765308	./quality-samples/sample0.jpg
webp	320	30	8958	0.00619258	./quality-samples/sample0.jpg
webp	320	35	9506	0.00541594	./quality-samples/sample0.jpg
webp	320	40	10074	0.00503723	./quality-samples/sample0.jpg
webp	320	45	10792	0.00448808	./quality-samples/sample0.jpg
webp	320	50	11324	0.00417219	./quality-samples/sample0.jpg
webp	320	55	11960	0.00372181	./quality-samples/sample0.jpg
webp	320	60	12418	0.00374874	./quality-samples/sample0.jpg
webp	320	65	13194	0.00336373	./quality-samples/sample0.jpg
webp	320	70	14022	0.00315151	./quality-samples/sample0.jpg
webp	320	75	14664	0.00273105	./quality-samples/sample0.jpg
webp	320	80	17262	0.00203381	./quality-samples/sample0.jpg
webp	320	85	20192	0.00159272	./quality-samples/sample0.jpg
webp	320	90	24102	0.00119965	./quality-samples/sample0.jpg
webp	320	95	29620	0.00098258	./quality-samples/sample0.jpg
webp	320	100	37720	0.00079252	./quality-samples/sample0.jpg
jpeg	320	10	3821	0.02442985	./quality-samples/sample0.jpg
jpeg	320	15	5170	0.016411	./quality-samples/sample0.jpg
jpeg	320	20	6292	0.01244874	./quality-samples/sample0.jpg
jpeg	320	25	7333	0.00974097	./quality-samples/sample0.jpg
jpeg	320	30	8302	0.00808736	./quality-samples/sample0.jpg
jpeg	320	35	9163	0.00719504	./quality-samples/sample0.jpg
jpeg	320	40	9884	0.00650992	./quality-samples/sample0.jpg
jpeg	320	45	10691	0.00572059	./quality-samples/sample0.jpg
jpeg	320	50	11413	0.0052091	./quality-samples/sample0.jpg
jpeg	320	55	12131	0.00478198	./quality-samples/sample0.jpg
jpeg	320	60	13024	0.00431461	./quality-samples/sample0.jpg
jpeg	320	65	14123	0.00383476	./quality-samples/sample0.jpg
jpeg	320	70	15465	0.00332233	./quality-samples/sample0.jpg
jpeg	320	75	17053	0.00283946	./quality-samples/sample0.jpg
jpeg	320	80	19384	0.00228138	./quality-samples/sample0.jpg
jpeg	320	85	22478	0.00168925	./quality-samples/sample0.jpg
jpeg	320	90	27547	0.00119693	./quality-samples/sample0.jpg
jpeg	320	95	37226	0.00077406	./quality-samples/sample0.jpg
jpeg	320	100	62814	0.00063418	./quality-samples/sample0.jpg
avif	320	10	1846	0.03172342	./quality-samples/sample0.jpg
avif	320	15	2595	0.0224352	./quality-samples/sample0.jpg
avif	320	20	3689	0.01454999	./quality-samples/sample0.jpg
avif	320	25	4518	0.010601	./quality-samples/sample0.jpg
avif	320	30	5607	0.00796609	./quality-samples/sample0.jpg
avif	320	35	6631	0.0061949	./quality-samples/sample0.jpg
avif	320	40	7937	0.00473083	./quality-samples/sample0.jpg
avif	320	45	9302	0.00384136	./quality-samples/sample0.jpg
avif	320	50	10827	0.00306384	./quality-samples/sample0.jpg
avif	320	55	13193	0.00241355	./quality-samples/sample0.jpg
avif	320	60	15051	0.00202707	./quality-samples/sample0.jpg
avif	320	65	16690	0.00182017	./quality-samples/sample0.jpg
avif	320	70	18159	0.00162168	./quality-samples/sample0.jpg
avif	320	75	19882	0.00147874	./quality-samples/sample0.jpg
avif	320	80	22089	0.00137132	./quality-samples/sample0.jpg
avif	320	85	25927	0.00120009	./quality-samples/sample0.jpg
avif	320	90	30652	0.00112155	./quality-samples/sample0.jpg
avif	320	95	38257	0.00109175	./quality-samples/sample0.jpg
avif	320	100	49196	0.00109744	./quality-samples/sample0.jpg
webp	320	10	10286	0.01680858	./quality-samples/sample1.jpg
webp	320	15	12064	0.01423607	./quality-samples/sample1.jpg
webp	320	20	14056	0.01032527	./quality-samples/sample1.jpg
webp	320	25	16056	0.00913226	./quality-samples/sample1.jpg
webp	320	30	18550	0.00688852	./quality-samples/sample1.jpg
webp	320	35	19958	0.0061867	./quality-samples/sample1.jpg
webp	320	40	21328	0.00557294	./quality-samples/sample1.jpg
webp	320	45	23100	0.00480069	./quality-samples/sample1.jpg
webp	320	50	24664	0.00431726	./quality-samples/sample1.jpg
webp	320	55	25900	0.00397821	./quality-samples/sample1.jpg
webp	320	60	28020	0.00345473	./quality-samples/sample1.jpg
webp	320	65	30376	0.00301387	./quality-samples/sample1.jpg
webp	320	70	32084	0.0027154	./quality-samples/sample1.jpg
webp	320	75	33982	0.00242508	./quality-samples/sample1.jpg
webp	320	80	42346	0.00163592	./quality-samples/sample1.jpg
webp	320	85	50518	0.00112605	./quality-samples/sample1.jpg
webp	320	90	62826	0.00067847	./quality-samples/sample1.jpg
webp	320	95	83198	0.00036691	./quality-samples/sample1.jpg
webp	320	100	109578	0.0002381	./quality-samples/sample1.jpg
jpeg	320	10	8194	0.02832567	./quality-samples/sample1.jpg
jpeg	320	15	11495	0.01710126	./quality-samples/sample1.jpg
jpeg	320	20	14216	0.01208188	./quality-samples/sample1.jpg
jpeg	320	25	16796	0.00923967	./quality-samples/sample1.jpg
jpeg	320	30	19093	0.00745983	./quality-samples/sample1.jpg
jpeg	320	35	21200	0.00631229	./quality-samples/sample1.jpg
jpeg	320	40	22934	0.00542859	./quality-samples/sample1.jpg
jpeg	320	45	24811	0.00483135	./quality-samples/sample1.jpg
jpeg	320	50	26495	0.00438185	./quality-samples/sample1.jpg
jpeg	320	55	28166	0.00386465	./quality-samples/sample1.jpg
jpeg	320	60	30249	0.00343608	./quality-samples/sample1.jpg
jpeg	320	65	32833	0.00297436	./quality-samples/sample1.jpg
jpeg	320	70	36201	0.0025491	./quality-samples/sample1.jpg
jpeg	320	75	39877	0.00212398	./quality-samples/sample1.jpg
jpeg	320	80	45639	0.00167524	./quality-samples/sample1.jpg
jpeg	320	85	53534	0.00121094	./quality-samples/sample1.jpg
jpeg	320	90	66602	0.00075999	./quality-samples/sample1.jpg
jpeg	320	95	93147	0.0003604	./quality-samples/sample1.jpg
jpeg	320	100	158994	0.00015291	./quality-samples/sample1.jpg
avif	320	10	3605	0.0428539	./quality-samples/sample1.jpg
avif	320	15	4842	0.03203142	./quality-samples/sample1.jpg
avif	320	20	6549	0.02278259	./quality-samples/sample1.jpg
avif	320	25	8251	0.01738971	./quality-samples/sample1.jpg
avif	320	30	10318	0.01277404	./quality-samples/sample1.jpg
avif	320	35	12906	0.00971776	./quality-samples/sample1.jpg
avif	320	40	15966	0.0069584	./quality-samples/sample1.jpg
avif	320	45	19735	0.00511085	./quality-samples/sample1.jpg
avif	320	50	23821	0.00380893	./quality-samples/sample1.jpg
avif	320	55	30048	0.00261305	./quality-samples/sample1.jpg
avif	320	60	35246	0.00196178	./quality-samples/sample1.jpg
avif	320	65	40239	0.00159046	./quality-samples/sample1.jpg
avif	320	70	44822	0.00134998	./quality-samples/sample1.jpg
avif	320	75	50341	0.00110788	./quality-samples/sample1.jpg
avif	320	80	57386	0.00091824	./quality-samples/sample1.jpg
avif	320	85	70247	0.00072105	./quality-samples/sample1.jpg
avif	320	90	85113	0.00060739	./quality-samples/sample1.jpg
avif	320	95	107388	0.00054309	./quality-samples/sample1.jpg
avif	320	100	135350	0.00051201	./quality-samples/sample1.jpg
webp	320	10	3574	0.01294132	./quality-samples/sample2.jpg
webp	320	15	4026	0.01102801	./quality-samples/sample2.jpg
webp	320	20	4504	0.00950746	./quality-samples/sample2.jpg
webp	320	25	4908	0.00824875	./quality-samples/sample2.jpg
webp	320	30	5510	0.00736334	./quality-samples/sample2.jpg
webp	320	35	6056	0.0066974	./quality-samples/sample2.jpg
webp	320	40	6688	0.0059621	./quality-samples/sample2.jpg
webp	320	45	7110	0.00559595	./quality-samples/sample2.jpg
webp	320	50	7552	0.00470015	./quality-samples/sample2.jpg
webp	320	55	8078	0.00413083	./quality-samples/sample2.jpg
webp	320	60	8542	0.0040051	./quality-samples/sample2.jpg
webp	320	65	9154	0.00336859	./quality-samples/sample2.jpg
webp	320	70	9786	0.00308111	./quality-samples/sample2.jpg
webp	320	75	10386	0.002793	./quality-samples/sample2.jpg
webp	320	80	12842	0.00203716	./quality-samples/sample2.jpg
webp	320	85	16316	0.00163375	./quality-samples/sample2.jpg
